controlId,prompt_context
IAM-005,"Evaluate if the partner shares defined SLAs to evaluate and mitigate the RISK events and implement a process in place to detect and track issues for events published by AWS Health services detail type ""AWS Health Event"" and service equal to ""RISK"". Along with detection, there should be an alerting mechanism in place to notify security about such incidents involving exposed credentials."
IAM-007,"Evaluate if the partner described the authentication mechanism they are using to check on a valid identity while making an API or UI request. Amazon Web Services (AWS) supports multiple authentication mechanisms (AWS Signature v4, OpenID Connect, SAML 2.0, and more), essential in providing secure access to AWS resources."
OSSEC-001,"Evaluate if the partner has a streamlined process in place to patch the operating systems. Operating systems should be routinely patched through the use of services like AWS Systems Manager whereas non-essential services and libraries should be disabled or removed."
QCHKA-001,"Evaluate if the partner provides a description or supporting documentation demonstrating usage of Foundation Models through Amazon Bedrock and/or Amazon SageMaker for production-ready offering."
QCHKA-002,"Evaluate if the partner describes or optionally provides documents that show how the solution integrates with agent development frameworks that work seamlessly with AWS services. While Strands is preferred, other frameworks such as Crew AI, LangChain, or LangGraph are acceptable if they demonstrate AWS integration."
QCHKA-003,"Evaluate if the partner describes or optionally provides evidence to demonstrate support for interoperability protocols such as Agent-to-Agent (A2A) or Model Context Protocol (MCP) for agent coordination. The solution can include capabilities for integrating with external tools and memory constructs."
QCHKA-004,"Evaluate if the partner describes or optionally provide documentation about integration with AWS security services (such as IAM/IAC, Security Hub, CloudTrail), Bedrock guardrails, and SSO/IdP integrations with comprehensive security controls."
QCHKA-005,"Evaluate if the partner describes or optionally provide documentation about integration with AWS AI/ML governance services (such as Bedrock Guardrails, SageMaker Clarify) and/or third-party tools to enforce safety controls and prevent harmful outputs."
QCHKA-006,"Evaluate if the partner describes or optionally provide evidence about the solution being deployed on AWS managed compute services (such as AgentCore Runtime, EKS, ECS, Lambda, Fargate)."
QCHKT-001,"Partner must demonstrate their solution is an agent development tool (not a direct agent application) and identify their tool type. Partners may provide a brief description, reference other controls, or state 'refer to control [X]' for detailed information. Accept any reasonable explanation that positions the solution as enabling agent development rather than being a complete agent."
QCHKT-002,"Evaluate if the partner describes or optionally provide evidence for use of managed AWS AI services for Foundation Model inference."
QCHKT-003,"Evaluate if the partner describes or optionally provides evidence about SDKs, libraries, or tooling that integrate with AWS-compatible agent frameworks like Strands, LangGraph, CrewAI, or similar frameworks for intelligent planning, reasoning, and autonomous actions. REQUIRED for Development and UI Automation tools. OPTIONAL for other tool types - partners may mark as NOT APPLICABLE if their tool doesn't provide agent development frameworks."
QCHKT-004,"Evaluate if the partner describes interoperability features using standardized protocols such as Model Context Protocol (MCP), Agent-to-Agent (A2A), or similar industry-standard communication protocols. The solution enables developers to implement secure coordination between multiple agents for complex workflows and collaborative task execution. The solution supports integration with external tools, services, APIs, and memory constructs to extend agent functionality beyond the core platform. Description alone is sufficient - additional evidence is optional and not required for passing."
QCHKT-005,"Evaluate if the partner describes or optionally provide evidence about integration with core AWS security services like IAM/Infrastructure as Code (IAC), AWS Security Hub, and AWS CloudTrail. The solution supports enterprise SSO and Identity Provider (IdP) integrations to enable secure authentication and authorization."
QCHKT-006,"Evaluate if the partner describes or optionally provide evidence about integration with AWS-managed services including Amazon Bedrock Guardrails, Amazon SageMaker Clarify, and Amazon SageMaker Ground Truth for comprehensive responsible AI implementation."
QCHKT-007,"Evaluate if the partner describes or optionally provide evidence that the solution is deployed on AWS managed compute services (like AgentCore Runtime, EKS, ECS, Lambda, Fargate) with an optimized security posture and cost efficiency."
SECOPS-001,"Evaluate if the partner demonstrates mechanisms to detect changes in compute resources (OS or application level) and store related logs/data in a durable location. Solutions may include Security Information and Event Management (SIEM) systems, Intrusion Detection Systems (IDS), or other monitoring tools that accomplish these objectives."
SECOPS-004,"Evaluate if the partner describes or optionally provide evidence if they are using services like AWS Key Management Service or HashiCorp Vault to store and provide access to the cryptographic keys so that partners have control over who can access the keys and decrypt the data."
SUP-001,"For SaaS solutions, Partners should confirm to maintaining AWS Business Support or greater coverage for production environments. For customer-deployed solutions, Partners should confirm premium support for solution-producing AWS accounts.They can optionally provide evidance."
SUP-002,"Evaluate if the partner offers product support via one chat, phone or email and provide evidence in the form of description of support offered to customers for their product or solution."
GAIFMO-001,"Evaluate if partner response describes FMOPs flows or FM Ops Lifecycle."
GAIDEV-001,"Evaluate if partner desribes the generative AI software development lifecycle tasks."
GAIDEV-002,"Evaluate if partner response describes FM-based development lifecycle, optinal examples include language models integration, prompt templating, outputs parsing, latency and costs measurement, collaboration support, FM outputs evaluation, versioning, or the common tasks abstraction and simplification."
GAIDSI-001,"Evaluate if partner response describes the process on storage, indexing, and retrieval of vector embeddings ."
GAISDG-001,"Evaluate if partner describes the synthetic data generation techniques and methods to verify the accuracy and closeness to the real-world data, output formats supported (structured, semi-structured, unstructured), or scalability options and performance metrics when generating large volumes of synthetic data."
GAIPBHW-001,"Evaluate if partner describes the EC2 instance type name , the hardware specifications related to vCPUs, GPU (if used), Memory Size, Instance Storage, or other information related supprting the high performance required for the solution."
GAIPBHW-002,"Evaluate if partner describes AI/ML compatibility with popular machine learning frameworks like TensorFlow and PyTorch."
UCR-001,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if partner provides customer information including industry, size, and market segment. Accept either named or anonymous case studies. Brief descriptions are acceptable"
UCR-002,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner identifies the customer's critical business challenge"
UCR-003,"Evaluate if the partner describes the customer's specific business or technical objectives for the engagement and desired outcomes."
UCR-004,"Evaluate if the partner response is aligned with AI domain"
PS-001-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner response includes AWS services aligned with AI domain."
PS-002-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if partner response describes how the solution solves customer challenges."
PS-003-SERVICE,"Evaluate if partner solution is in prod. this can be demonstrated by partner response description, architecture diagram, or AWS ARR provided by partner"
PS-004-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if partner response mentions ACE opportunity ID."
PS-005-SERVICE,"Evaluate if the partner response includes AWS services aligned with AI domain"
PS-001-SOFTWARE,"PASS if partner provides architecture diagram in supporting docs (PDF, image, etc.) AND response describes ANY of: (1) Failure resilience (how components recover from failures), (2) Scalability mechanisms (auto-scaling, load balancing), (3) High-availability strategy (multi-AZ or multi-region). FAIL if architecture diagram missing OR no description of HA/scalability/failure handling."
PS-003-SOFTWARE,"Evaluate if partner response describes how the solution solves customer challenges."
PS-004-SOFTWARE,"Evaluate if partner solution is in prod. this can be demonstrated by partner response description, architecture diagram, or AWS ARR provided by partner"
PS-005-SOFTWARE,"Pass this control as long as there is a response even if its N/A."
PS-002-SOFTWARE,"Evaluate if the partner response includes AWS services aligned with AI domain"
GENAIPR-001,"Evaluate if partner describes any one of the following - customer onboarding, customer adoption of AI, how partners evaluate clients readiness for AI."
GENAIPR-002,"Evaluate if partner provides description on how to select and customize appropriate Foundation Model using AWS technologies like Amazon Bedrock, SageMaker Jumpstart, or Containers considering factors such as licensing, customer skills, output quality, context windows, latency, budget, and customizations supported."
GENAIPR-003,"Evaluate if partner provides confidentiality, integrity, and availability practices and frameworks to safeguard customer data and generative AI applications."
GENAIPR-004,"Evaluate if partner provides written description or documentation of AI ethics (responsible AI) policies discussing some of the following areas - proof of bias mitigation strategies, user consent protocols, transparency reports, safety measures, and sustainability initiatives related to use of Generative AI."
GENAIPR-005,"Evaluate if partner provides technical details on specific AWS AI service and approach to operationalizing the GenAI projects delivered to the customers. Examples may include CI/CD automation pipelines, security, compliance, human intervention, troubleshooting, datastores refreshing, continuous monitoring and analytics, performance optimization, and model re-training."
GENAIPR-006,"Evaluate if partner provides customers with post-launch support plans such as use of generative AI applications delivered, manages workload-associated risks, or continuously improves model performance based on customer feedback."
QCHK-001,"Evaluate if partner provides evidence or documentation demonstrating expertise in implementing agent solutions using AWS Foundation Models through Bedrock, Bedrock Marketplace, or SageMaker AI/JumpStart."
QCHK-002,"Evaluate if partner demonstrates expertise in implementing agent workloads using AWS-compatible frameworks like Strands, LangGraph that enable intelligent planning, reasoning, and autonomous actions."
QCHK-003,"Evaluate if partner response demonstrates experience implementing secure agent interoperability using protocols like MCP, A2A and integration capabilities for connecting agents with tools, services, and memory constructs."
QCHK-004,"Evaluate if partner response demonstrates expertise in implementing AWS security services including some of the following - IAM/IAC, Security Hub, CloudTrail, Bedrock guardrails, and third-party integrations SSO/IdP with monitoring and observability capabilities."
QCHK-005,"Evaluate if partner response demonstrates proven expertise in implementing AWS-managed AI safety services like Amazon Bedrock Guardrails, Amazon SageMaker Clarify, Amazon SageMaker Ground Truth to prevent harmful outputs, enforce safety guardrails, and apply human feedback for trustworthy autonomous operations in client solutions."
QCHK-006,"Evaluate if partner response demonstrates experience utilizing AWS managed compute services such as Bedrock AgentCore, EKS, ECS, Lambda, Fargate to deploy agent solutions with optimized security posture and cost efficiency. The partner shows expertise in managed compute, optimized security posture, and cost and performance optimization."
GENAICEX-001,"Evaluate if partner describes business impact of Generative AI approach using AWS technologies and key services. Response or documentation should demonstrate completed implementation."
AGAIPS-001,"Evaluate if partner response or documentation show how customer requirements were translated into technical implementation using AWS foundation model selection, framework choices."
AGAIPS-002,"Evaluate if partner response or documentation shows design and implementation of authentication and authorization systems for agent solutions. Partner discusses security requirements and interoperability needs."
AGAIPS-003,"Evaluate if partner provides safety assessment or responsible AI policies for customers."
AGAIPS-004,"Evaluate if parnter provides architecture diagrams or other evidence, description, documentation showing AWS managed compute service deployment such as Bedrock AgentCore, EKS, ECS, Lambda, Fargate, technical documentation of service selection and optimization strategies, or implementation guides demonstrating agent workload deployment on AWS managed compute infrastructure."
GAICRE-001,"Evaluate if partner architecture documents, descriptions or diagrams detail how the solution runs on AWS. The implementation of security measures should be present. Documentation includes the list of the AWS FMs and AWS AI services supported."
GAICRE-002,"Evaluate if partner describes or have documents that outline the implementation of the model customization techniques used, supported data sources, and data stores."
GAICRE-003,"Evaluate if partner describes the FM inputs and outputs monitoring and validation mechanisms."
GAICRE-004,"Evaluate if partner describes responsible AI framework or tooling that implements (where applicable) the principles of explainability, accountability, reproducibility, fairness, human-centricity, security."
GAICRE-005,"Evaluate if partners demonstrate the solution's benefits to customers, including efficiency gains or cost savings, through quantifiable metrics or direct customer feedback."
GAIAPP-001,"Evaluate if partner describes the supported use cases and AWS generative AI technologies used (Amazon Bedrock / SageMaker Jumpstart)or FM features supporting the application."
GAIAPP-002,"Evaluate if partner describes or have documents that outline the implementation of the prompt management."
GAIFMS-001,"Evaluate if partner demonstrates established practices for FM training and operations. This should include some aspects of the following: (1) defined roles and responsibilities for key functions (development, operations, security, quality assurance), (2) decision-making and accountability processes, or (3) adherence to ethical, legal, and technical requirements in their FM development and deployment."
GAIFMS-002,"Evaluate if partner provides their model development process. This should include some aspects of version control logs, data pre-processing steps, model architecture, hyperparameter settings, or evaluation metrics."
GAIFMS-003,"Evaluate if partner response provides model efficiency in some of the following area: tokenization techniques to improve memory requirements, parallelism techniques, distributed training frameworks, model evaluation metrics."
GAIFMS-004,"Evaluate if partner response demonstrates applicable areas (not required for all) such as Data Privacy compliance, data leakage prevention measures, data access controls and activity logs used, privacy impact assessments conducted."
GAIFMS-005,"Evaluate if Partners describes bias assessment process to identify and quantify biases in pre-trained word embeddings, mitigate bias, and continuously monitor and improve the assessment and mitigation process."
GAIFMS-006,"Evaluate if partner describes implementations such as content moderation policies, fact-checking procedures."
GAIFMS-007,"Evaluate if Partners describes a processes that prevent the generation of plagiarized or copyrighted content."
GAIFMS-008,"Evaluate if partner response describes the model customization process (prerequisites, data preparation, model training, results validation, new model use, common issues, and best practices)."
SECOPS-006,"Evaluate if partner has implemented a system to track and manage security issues. PASS if submission demonstrates use of a ticketing or tracking system to manage security-related issues, system allows tracking of security concerns with basic ownership assignment, system captures security issues reported about the solution. FAIL if no system exists for tracking security issues, no process for managing security concerns, no way to track or assign ownership of security issues."
AWSAPI-001,"Evaluate if the solution uses official AWS tools or SDKs for AWS API calls with appropriate error handling. PASS if partner uses official AWS tools (such as AWS SDK, AWS CLI, or infrastructure tools like Terraform) for API calls, or mentions implementation of retry logic with exponential backoff and jitter. FAIL if partner explicitly mentions using unofficial or third-party SDKs, or provides no information about AWS API interaction methods."
AWSAPI-002,"Evaluate if the partner has measures to prevent AWS API throttling in customer accounts. PASS if submission demonstrates any rate limiting, bandwidth controls, or throttling prevention measures for AWS services, including but not limited to API call rate limiting, bandwidth limiting for data operations, or other mechanisms that help prevent service throttling. FAIL if no throttling prevention measures are mentioned or partner explicitly states they make unlimited API calls without any controls."
AWSAPI-003,"Evaluate if the partner solution avoids unnecessary polling of AWS control plane APIs. PASS if submission demonstrates the solution does not rely on polling AWS APIs for status checks, uses AWS native services (such as AutoScaling groups, load balancer health checks, CloudTrail, EventBridge, or AWS Config) for monitoring and state management, or describes alternative methods to avoid frequent API polling. FAIL if solution explicitly relies on continuous polling of AWS control plane APIs without any alternative mechanisms or throttling controls."
PRF-001,"PASS if submission shows ANY of: (1) Specific KPI metrics listed (latency, uptime, error rate, etc.), (2) Performance thresholds defined with numbers (e.g., <100ms latency), (3) Monitoring approach described (CloudWatch, Datadog, custom dashboards), (4) Customer-facing performance metrics tracked. FAIL if only says 'we monitor performance' without specific metrics, thresholds, or monitoring tools."
PRF-002,"Evaluate if the partner conducts performance test suites before major releases or production deployments to ensure new versions meets performance targets. PASS if submission mentions performance test suites either automated or manual are run before major releases or production deployments to ensure new versions meet performance targets. FAIL if partner lacks performance tests before releases or deployments or no integration with CI/CD pipeline"
OPE-003-SOFTWARE,"Evaluate if partner performs peer-to-peer code reviews before each release or deployment. PASS if submission demonstrates or mentions that peer-to-peer code reviews are conducted as part of the development or release process. FAIL if no code review process is mentioned or partner explicitly states they do not conduct peer reviews."
OPE-004,"Evaluate if automated functional test suites exist and automatically run before software release or deployment to production ensuring functionality and preventing regressions. PASS if submission demonstrates automated functional test suites exist and are automatically run before software is released or deployed to production, or mentions use of automation and CI/CD frameworks that include testing as part of the release process. FAIL if lacks any automated testing, missing automatic execution before release or deployment, or no mention of testing frameworks or automation in release process."
OPE-005,"PASS if partner uses issue tracking tool (Jira, GitHub Issues, Linear, ServiceNow, etc.) to manage backlogs, feature requests, OR defects. Tool must be named or described. FAIL if no tracking tool mentioned or only uses email/spreadsheets without formal system."
OPE-006,"Evaluate if the partner establishes process to track and remediate customer reported product bugs and operational incidents. PASS if submission demonstrates process established to track and remediate customer reported product bugs and operational incidents, or describes a system for capturing and managing customer issues including bugs and incidents through appropriate tracking tools. FAIL if lacks any issue tracking process or no system mentioned for handling customer reported issues."
SECOPS-007,"Evaluate if partner automatically detects and alerts on anomalous activity based on AWS CloudTrail logs using automated tools such as Amazon GuardDuty and integrates alerting with security issue tracking system. PASS if partner has AWS CloudTrail logs actively monitored using automated tools such as Amazon GuardDuty to detect suspicious or anomalous behavior. FAIL if lacks active monitoring of CloudTrail logs using automated tools or integration with security ticketing system."
SECOPS-008,"Evaluate if partner automatically detects and alerts on anomalous network activity for production using automated tools with alerting mechanisms. PASS if submission demonstrates network activity actively monitored using automated tools such as Amazon GuardDuty to detect suspicious or anomalous behavior, and alerting configured to notify security or operations teams when suspicious behaviors detected. FAIL if lacks active monitoring of network activity, missing automated tools for suspicious behavior detection, or no alerting mechanism described."
SECOPS-009,"Evaluate if partner implements infrastructure configuration policies and monitors compliance using automated tooling. PASS if submission mentions use of configuration policies for AWS infrastructure or automated tooling such as AWS Config for monitoring compliance. FAIL if no mention of configuration policies or automated compliance monitoring tools."
SECOPS-011,"Evaluate if partner uses certificate management system to maintain SSL/TLS certificates with automated mechanisms to prevent certificates from expiring unexpectedly. PASS if submission mentions use of certificate management system such as AWS Certificate Manager or similar tools for SSL/TLS certificates, or describes automated mechanisms to prevent certificate expiration. FAIL if no certificate management system mentioned or no automated expiration prevention described."
TI-001,"Evaluate if partner models tenant identity in software layer for multi-tenant components with controls ensuring tenant isolation. PASS if submission mentions tenant identity modeling in software layer, describes tenant isolation approach, or indicates awareness of preventing cross-tenant data access. FAIL if no mention of tenant identity modeling or tenant isolation for shared infrastructure."
TI-002,"Evaluate whether partner deploys single-tenant components to tenant-specific Amazon VPCs or describes tenant isolation approach. PASS if submission mentions deployment of single-tenant components to tenant-specific VPCs, describes VPC-per-tenant model for components not designed for multi-tenant software isolation, or indicates use of separate compute resources and network isolation per tenant. FAIL if no mention of tenant-specific VPCs, shared infrastructure without tenant isolation described, or no approach to tenant separation at infrastructure level."
TI-003,"Evaluate if single-tenant components use dedicated IAM roles per tenant with policies limiting access to tenant-specific resources. PASS if submission demonstrates or mentions use of dedicated IAM roles per tenant, roles limit access to tenant resources using Resource and Condition statements or similar access controls, description of tenant-specific roles, or example of IAM policies providing resource isolation. FAIL if no mention of dedicated IAM roles per tenant, missing tenant-specific access controls, or no approach described for limiting access to tenant resources."
REL-001-SOFTWARE,"Evaluate if partner established highly available network connectivity. Network connectivity to the solution must be highly available. If using VPN or Direct Connect to connect to customer networks, the solution must support redundant connections, even if the customers do not always implement this. PASS if partner says they established highly available network connectivity or if they are using VPN or Direct Connect to connect to customer networks they have redundant connectivity. FAIL if no explicit mention of having highly available network connectivity."
REL-002-SOFTWARE,"Evaluate if partner continuously monitors workload health and implements alerting on any issues. PASS if submission demonstrates monitoring of system components with defined thresholds and alerting. FAIL if no monitoring or alerting mentioned."
REL-003,"Evaluate if partner manages AWS and application logs centrally. PASS if submission demonstrates or mentions consolidation of log information from application and AWS infrastructure into a single system, describes centralized logging approach, or indicates use of log aggregation tools or services. FAIL if no mention of centralized logging, logs are explicitly stated to be managed separately, or no log consolidation approach described."
REL-004,"Evaluate if application and AWS infrastructure are monitored centrally with alarms generated and sent to appropriate operations staff. PASS if submission demonstrates or mentions centralized monitoring of application and AWS infrastructure, alarms generated and sent to operations staff, or describes monitoring approach with alerting to appropriate teams. FAIL if no centralized monitoring mentioned, missing alarm generation or notification to operations staff, or no monitoring approach described."
REL-005,"Evaluate if solution uses automated tools like CloudFormation or Terraform to provision and manage AWS infrastructure avoiding AWS Management Console for routine production changes. PASS if submission mentions or describes solution uses automated tools such as AWS CloudFormation, Terraform, or CDK to provision and manage AWS infrastructure, avoids AWS Management Console for routine production changes, and describes infrastructure-as-code practices with version control. FAIL if submission shows complete reliance on AWS Management Console for production infrastructure changes, no mention of infrastructure automation tools, or no infrastructure-as-code practices."
OPE-001-SOFTWARE,"Evaluate if the partner has automated code and configuration deployments. PASS if submission mentions or describes automated methods for deploying code and configuration to AWS infrastructure and avoids interactive SSH or RDP sessions for updates. FAIL if submission shows reliance on manual SSH or RDP sessions for code and configuration deployments or no mention of automated deployment methods."
OPE-002-SOFTWARE,"Evaluate if partner has developed runbooks. PASS if submission mentions or describes runbooks that document routine operational tasks and troubleshooting scenarios, provide step-by-step instructions for activities and issue resolution, and are accessible to relevant personnel. FAIL if submission shows no mention of operational runbooks or documented procedures for routine tasks and troubleshooting."
